ids	values
9606.ENSP00000345270	0.0072971866
9606.ENSP00000366527	0.0073268455
9606.ENSP00000360296	0.007357907
9606.ENSP00000211936	0.0074612186
9606.ENSP00000307093	0.00748118
9606.ENSP00000363794	0.0075024664
9606.ENSP00000361446	0.007567279
9606.ENSP00000321221	0.0075926925
9606.ENSP00000441405	0.0076288274
9606.ENSP00000324105	0.0076337205
9606.ENSP00000278070	0.0076430645
9606.ENSP00000288065	0.0076513025
9606.ENSP00000492893	0.0076729534
9606.ENSP00000277165	0.0076908506
9606.ENSP00000461930	0.007692332
9606.ENSP00000428316	0.0077242404
9606.ENSP00000275015	0.0077588484
9606.ENSP00000352208	0.007802091
9606.ENSP00000264228	0.007806385
